matrix,rows,cols,density_pct,threads,i_refs,i1_misses,i1_miss_rate,d_refs,d1_misses,d1_miss_rate,d1_writes,d1_write_misses,ll_refs,ll_misses,ll_miss_rate,branches,branch_misses,branch_miss_rate,exit_code,notes
"2k_0p22.mtx",1624,×,"0.23%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p22.mtx",1624,×,"0.23%",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p22.mtx",1624,×,"0.23%",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p22.mtx",1624,×,"0.23%",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p22.mtx",1624,×,"0.23%",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p22.mtx",1624,×,"0.23%",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p52.mtx",2003,×,"0.53%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p52.mtx",2003,×,"0.53%",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p52.mtx",2003,×,"0.53%",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p52.mtx",2003,×,"0.53%",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p52.mtx",2003,×,"0.53%",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"2k_0p52.mtx",2003,×,"0.53%",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"5k_9p37.mtx",4562,×,"9.37%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"5k_9p37.mtx",4562,×,"9.37%",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"5k_9p37.mtx",4562,×,"9.37%",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"5k_9p37.mtx",4562,×,"9.37%",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"5k_9p37.mtx",4562,×,"9.37%",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"5k_9p37.mtx",4562,×,"9.37%",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"6k_6p3.mtx",6001,×,"6.30%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"6k_6p3.mtx",6001,×,"6.30%",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"6k_6p3.mtx",6001,×,"6.30%",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"6k_6p3.mtx",6001,×,"6.30%",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"6k_6p3.mtx",6001,×,"6.30%",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"6k_6p3.mtx",6001,×,"6.30%",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"9k_0p77.mtx",8738,×,"0.78%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"9k_0p77.mtx",8738,×,"0.78%",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"9k_0p77.mtx",8738,×,"0.78%",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"9k_0p77.mtx",8738,×,"0.78%",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"9k_0p77.mtx",8738,×,"0.78%",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
"9k_0p77.mtx",8738,×,"0.78%",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"success"
